iter	Passed	Remaining
0	109	109431
1	159	79426
2	200	66623
3	239	59681
4	281	56024
5	320	53153
6	362	51443
7	399	49554
8	443	48867
9	486	48191
10	527	47405
11	575	47364
12	617	46853
13	665	46880
14	718	47158
15	754	46412
16	797	46126
17	836	45614
18	875	45188
19	916	44921
20	955	44547
21	996	44309
22	1032	43856
23	1069	43474
24	1111	43344
25	1153	43213
26	1189	42850
27	1229	42666
28	1269	42519
29	1312	42453
30	1352	42288
31	1389	42031
32	1432	41981
33	1470	41766
34	1512	41692
35	1554	41625
36	1606	41807
37	1651	41805
38	1690	41652
39	1732	41568
40	1775	41530
41	1820	41534
42	1859	41392
43	1894	41172
44	1929	40939
45	1963	40730
46	2000	40567
47	2044	40540
48	2081	40389
49	2115	40203
50	2156	40130
51	2190	39936
52	2232	39885
53	2272	39805
54	2316	39808
55	2358	39759
56	2393	39597
57	2430	39470
58	2474	39462
59	2515	39412
60	2561	39426
61	2610	39495
62	2654	39474
63	2695	39425
64	2731	39297
65	2769	39192
66	2810	39141
67	2847	39023
68	2888	38975
69	2931	38951
70	2969	38857
71	3012	38821
72	3054	38793
73	3091	38685
74	3133	38640
75	3173	38581
76	3214	38531
77	3256	38494
78	3295	38420
79	3337	38376
80	3379	38342
81	3416	38251
82	3461	38245
83	3496	38125
84	3536	38072
85	3578	38029
86	3620	37998
87	3665	37982
88	3701	37892
89	3736	37784
90	3771	37676
91	3809	37602
92	3860	37652
93	3897	37561
94	3940	37540
95	3982	37504
96	4019	37423
97	4063	37400
98	4103	37342
99	4138	37242
100	4179	37200
101	4228	37229
102	4280	37279
103	4318	37202
104	4360	37169
105	4402	37127
106	4443	37086
107	4493	37110
108	4531	37039
109	4566	36944
110	4608	36906
111	4645	36830
112	4680	36741
113	4723	36708
114	4764	36667
115	4800	36583
116	4838	36518
117	4895	36594
118	4958	36707
119	5001	36674
120	5035	36576
121	5070	36492
122	5110	36438
123	5156	36426
124	5194	36364
125	5236	36320
126	5286	36342
127	5354	36478
128	5418	36586
129	5499	36805
130	5584	37043
131	5681	37361
132	5758	37536
133	5819	37608
134	5891	37752
135	5973	37948
136	6039	38044
137	6120	38231
138	6190	38343
139	6263	38474
140	6342	38640
141	6432	38864
142	6507	39002
143	6583	39135
144	6670	39334
145	6741	39435
146	6820	39578
147	6883	39628
148	6954	39718
149	7021	39789
150	7097	39903
151	7162	39961
152	7226	40004
153	7299	40099
154	7368	40169
155	7462	40373
156	7552	40554
157	7623	40629
158	7691	40683
159	7761	40746
160	7826	40786
161	7913	40935
162	7991	41037
163	8062	41097
164	8130	41144
165	8199	41197
166	8273	41269
167	8334	41275
168	8400	41306
169	8488	41445
170	8549	41449
171	8603	41418
172	8651	41358
173	8685	41229
174	8726	41138
175	8768	41051
176	8807	40954
177	8859	40910
178	8902	40833
179	8945	40752
180	8987	40666
181	9024	40560
182	9059	40443
183	9102	40367
184	9143	40279
185	9184	40196
186	9227	40118
187	9271	40043
188	9313	39964
189	9351	39865
190	9393	39787
191	9436	39712
192	9478	39634
193	9548	39669
194	9601	39637
195	9646	39571
196	9691	39502
197	9733	39423
198	9776	39351
199	9817	39269
200	9859	39192
201	9902	39119
202	9939	39023
203	9978	38937
204	10015	38842
205	10061	38780
206	10105	38711
207	10145	38632
208	10189	38562
209	10231	38490
210	10267	38392
211	10308	38316
212	10351	38245
213	10385	38143
214	10427	38071
215	10468	37998
216	10521	37962
217	10575	37937
218	10629	37906
219	10691	37905
220	10753	37903
221	10812	37890
222	10871	37881
223	10930	37865
224	10992	37864
225	11045	37827
226	11105	37816
227	11169	37819
228	11230	37811
229	11281	37769
230	11324	37698
231	11368	37633
232	11410	37562
233	11454	37494
234	11495	37422
235	11545	37377
236	11586	37302
237	11630	37236
238	11676	37179
239	11711	37087
240	11754	37020
241	11797	36951
242	11840	36886
243	11884	36821
244	11927	36754
245	11969	36688
246	12006	36602
247	12048	36535
248	12093	36474
249	12135	36406
250	12176	36336
251	12219	36270
252	12265	36214
253	12301	36129
254	12345	36067
255	12381	35984
256	12424	35918
257	12464	35846
258	12509	35789
259	12558	35743
260	12611	35708
261	12656	35650
262	12697	35581
263	12742	35523
264	12784	35459
265	12822	35383
266	12860	35305
267	12901	35239
268	12943	35172
269	12983	35103
270	13019	35024
271	13063	34964
272	13101	34889
273	13144	34829
274	13188	34768
275	13230	34704
276	13275	34651
277	13312	34574
278	13354	34510
279	13394	34442
280	13436	34379
281	13478	34318
282	13520	34255
283	13570	34213
284	13615	34157
285	13673	34136
286	13714	34071
287	13757	34010
288	13800	33951
289	13854	33919
290	13899	33865
291	13939	33798
292	13979	33732
293	14026	33682
294	14070	33624
295	14105	33549
296	14148	33490
297	14187	33421
298	14302	33532
299	14385	33566
300	14489	33648
301	14593	33728
302	14634	33663
303	14678	33606
304	14720	33543
305	14764	33486
306	14807	33426
307	14851	33368
308	14894	33307
309	14955	33288
310	15017	33270
311	15061	33213
312	15127	33203
313	15234	33283
314	15391	33470
315	15487	33524
316	15536	33473
317	15575	33404
318	15619	33343
319	15655	33268
320	15697	33205
321	15740	33142
322	15776	33067
323	15821	33011
324	15859	32938
325	15902	32878
326	15944	32814
327	15985	32751
328	16073	32781
329	16188	32867
330	16305	32956
331	16348	32894
332	16393	32836
333	16433	32769
334	16476	32707
335	16525	32658
336	16576	32611
337	16630	32572
338	16677	32518
339	16721	32458
340	16762	32394
341	16803	32329
342	16843	32263
343	16885	32200
344	16927	32137
345	16969	32074
346	17009	32010
347	17052	31948
348	17094	31886
349	17136	31824
350	17172	31752
351	17208	31679
352	17244	31605
353	17286	31546
354	17329	31485
355	17369	31421
356	17414	31365
357	17449	31292
358	17483	31216
359	17521	31149
360	17579	31117
361	17615	31046
362	17661	30993
363	17702	30929
364	17744	30870
365	17785	30809
366	17828	30750
367	17871	30692
368	17914	30633
369	17958	30578
370	18001	30520
371	18043	30460
372	18087	30404
373	18124	30335
374	18165	30275
375	18210	30221
376	18252	30162
377	18294	30103
378	18337	30046
379	18382	29992
380	18418	29923
381	18455	29857
382	18492	29790
383	18534	29731
384	18583	29685
385	18632	29638
386	18669	29571
387	18711	29513
388	18753	29456
389	18799	29404
390	18834	29335
391	18881	29285
392	18930	29238
393	18972	29181
394	19015	29125
395	19056	29066
396	19099	29009
397	19142	28953
398	19230	28965
399	19301	28951
400	19357	28915
401	19422	28892
402	19490	28872
403	19565	28864
404	19613	28814
405	19646	28743
406	19691	28691
407	19736	28637
408	19779	28580
409	19820	28522
410	19857	28458
411	19901	28402
412	19944	28347
413	19989	28293
414	20031	28237
415	20083	28193
416	20145	28164
417	20208	28137
418	20269	28106
419	20332	28078
420	20394	28048
421	20456	28019
422	20526	27999
423	20587	27967
424	20648	27935
425	20706	27899
426	20767	27868
427	20842	27854
428	20900	27818
429	20960	27784
430	21022	27753
431	21082	27719
432	21140	27682
433	21201	27650
434	21255	27607
435	21315	27573
436	21371	27533
437	21462	27538
438	21550	27539
439	21651	27556
440	21729	27544
441	21877	27618
442	21946	27593
443	22007	27558
444	22065	27520
445	22125	27483
446	22185	27446
447	22268	27437
448	22356	27435
449	22441	27428
450	22512	27404
451	22587	27385
452	22688	27396
453	22760	27373
454	22843	27362
455	22961	27392
456	23092	27438
457	23195	27449
458	23281	27441
459	23359	27421
460	23436	27402
461	23520	27389
462	23596	27368
463	23700	27378
464	23775	27354
465	23849	27329
466	23915	27295
467	23991	27272
468	24096	27282
469	24208	27299
470	24351	27350
471	24430	27328
472	24534	27335
473	24613	27313
474	24667	27263
475	24731	27225
476	24790	27180
477	24846	27133
478	24908	27092
479	24972	27053
480	25068	27049
481	25136	27013
482	25200	26974
483	25259	26929
484	25317	26883
485	25380	26842
486	25441	26799
487	25504	26759
488	25565	26715
489	25612	26657
490	25649	26590
491	25696	26532
492	25738	26469
493	25780	26406
494	25821	26343
495	25863	26280
496	25902	26215
497	25951	26160
498	26001	26105
499	26043	26043
500	26083	25979
501	26126	25918
502	26169	25857
503	26213	25797
504	26256	25736
505	26302	25679
506	26344	25617
507	26382	25551
508	26429	25494
509	26472	25434
510	26517	25376
511	26553	25308
512	26598	25250
513	26638	25187
514	26681	25127
515	26727	25070
516	26771	25010
517	26815	24951
518	26852	24886
519	26893	24824
520	26936	24764
521	26978	24704
522	27030	24652
523	27076	24596
524	27119	24536
525	27163	24478
526	27207	24419
527	27250	24360
528	27294	24301
529	27335	24241
530	27377	24180
531	27419	24121
532	27465	24064
533	27504	24002
534	27549	23945
535	27590	23884
536	27637	23828
537	27679	23769
538	27725	23713
539	27763	23650
540	27806	23591
541	27848	23532
542	27891	23474
543	27934	23415
544	27972	23352
545	28014	23294
546	28062	23239
547	28109	23185
548	28146	23122
549	28189	23064
550	28231	23004
551	28274	22947
552	28314	22886
553	28357	22829
554	28399	22770
555	28440	22711
556	28488	22657
557	28532	22600
558	28574	22543
559	28620	22487
560	28664	22431
561	28712	22377
562	28756	22320
563	28799	22263
564	28840	22204
565	28874	22140
566	28925	22089
567	28964	22029
568	29005	21971
569	29047	21913
570	29089	21854
571	29132	21798
572	29175	21741
573	29217	21684
574	29260	21627
575	29304	21571
576	29347	21514
577	29393	21460
578	29437	21404
579	29481	21348
580	29523	21291
581	29586	21249
582	29630	21193
583	29673	21137
584	29718	21082
585	29759	21024
586	29794	20962
587	29836	20905
588	29880	20850
589	29917	20790
590	29953	20729
591	29996	20673
592	30040	20617
593	30081	20560
594	30126	20506
595	30168	20449
596	30210	20393
597	30246	20332
598	30289	20277
599	30331	20221
600	30372	20164
601	30415	20108
602	30473	20063
603	30514	20006
604	30556	19950
605	30602	19896
606	30648	19843
607	30696	19791
608	30744	19739
609	30786	19683
610	30826	19626
611	30870	19571
612	30914	19517
613	30956	19461
614	31000	19406
615	31042	19351
616	31084	19295
617	31126	19240
618	31170	19185
619	31207	19126
620	31250	19072
621	31292	19016
622	31333	18961
623	31379	18907
624	31419	18851
625	31457	18793
626	31512	18746
627	31556	18692
628	31600	18638
629	31644	18584
630	31688	18531
631	31739	18481
632	31780	18425
633	31822	18370
634	31864	18315
635	31908	18262
636	31951	18207
637	31992	18152
638	32035	18098
639	32071	18040
640	32113	17985
641	32148	17927
642	32193	17874
643	32228	17815
644	32268	17760
645	32306	17703
646	32348	17649
647	32386	17592
648	32429	17538
649	32473	17485
650	32515	17431
651	32565	17381
652	32609	17328
653	32647	17272
654	32686	17216
655	32727	17162
656	32772	17109
657	32814	17055
658	32858	17002
659	32902	16949
660	32944	16896
661	32987	16842
662	33029	16788
663	33071	16734
664	33115	16682
665	33156	16628
666	33201	16575
667	33242	16521
668	33285	16468
669	33328	16415
670	33371	16362
671	33409	16306
672	33454	16254
673	33494	16200
674	33537	16147
675	33583	16096
676	33634	16047
677	33679	15995
678	33719	15941
679	33756	15885
680	33800	15833
681	33840	15778
682	33880	15724
683	33934	15677
684	33981	15626
685	34025	15574
686	34061	15518
687	34103	15465
688	34147	15413
689	34189	15360
690	34224	15304
691	34265	15251
692	34307	15198
693	34349	15145
694	34391	15092
695	34432	15039
696	34476	14987
697	34517	14934
698	34559	14882
699	34602	14829
700	34641	14775
701	34684	14723
702	34729	14672
703	34778	14622
704	34823	14571
705	34867	14519
706	34909	14467
707	34957	14417
708	35003	14366
709	35068	14323
710	35134	14280
711	35177	14229
712	35222	14177
713	35261	14124
714	35304	14072
715	35342	14018
716	35378	13964
717	35420	13911
718	35465	13860
719	35509	13809
720	35545	13754
721	35590	13703
722	35628	13650
723	35670	13597
724	35713	13546
725	35754	13494
726	35801	13443
727	35843	13391
728	35886	13340
729	35928	13288
730	35968	13236
731	36024	13189
732	36070	13138
733	36112	13087
734	36147	13032
735	36191	12981
736	36235	12930
737	36278	12879
738	36321	12828
739	36362	12776
740	36401	12723
741	36447	12673
742	36514	12630
743	36600	12593
744	36728	12571
745	36810	12533
746	36917	12503
747	36996	12464
748	37063	12420
749	37130	12376
750	37226	12342
751	37286	12296
752	37342	12248
753	37405	12204
754	37491	12166
755	37558	12122
756	37615	12074
757	37689	12032
758	37750	11986
759	37805	11938
760	37867	11892
761	37942	11850
762	38017	11808
763	38095	11767
764	38176	11727
765	38268	11690
766	38324	11642
767	38385	11595
768	38447	11549
769	38507	11502
770	38571	11456
771	38630	11408
772	38711	11368
773	38805	11330
774	38867	11283
775	38933	11238
776	39017	11198
777	39100	11157
778	39167	11111
779	39239	11067
780	39316	11024
781	39379	10978
782	39443	10931
783	39500	10882
784	39579	10840
785	39698	10808
786	39772	10764
787	39847	10720
788	39905	10671
789	39955	10621
790	39997	10568
791	40041	10515
792	40083	10463
793	40127	10410
794	40168	10357
795	40211	10305
796	40254	10253
797	40289	10198
798	40332	10146
799	40368	10092
800	40417	10041
801	40461	9989
802	40505	9937
803	40547	9884
804	40590	9832
805	40629	9779
806	40673	9727
807	40713	9674
808	40758	9622
809	40800	9570
810	40846	9519
811	40886	9466
812	40936	9415
813	40983	9364
814	41026	9312
815	41070	9260
816	41112	9208
817	41154	9156
818	41195	9104
819	41238	9052
820	41282	9000
821	41319	8947
822	41361	8895
823	41404	8843
824	41447	8791
825	41496	8741
826	41547	8691
827	41593	8640
828	41633	8587
829	41676	8536
830	41714	8483
831	41754	8431
832	41797	8379
833	41845	8328
834	41882	8276
835	41934	8226
836	41998	8178
837	42057	8130
838	42119	8082
839	42181	8034
840	42238	7985
841	42305	7938
842	42362	7889
843	42423	7841
844	42480	7792
845	42540	7743
846	42600	7695
847	42644	7643
848	42687	7592
849	42723	7539
850	42766	7487
851	42808	7436
852	42857	7385
853	42900	7334
854	42945	7283
855	42987	7231
856	43029	7179
857	43071	7128
858	43106	7075
859	43147	7023
860	43188	6972
861	43232	6921
862	43269	6869
863	43313	6817
864	43349	6765
865	43392	6714
866	43434	6662
867	43470	6610
868	43505	6558
869	43549	6507
870	43604	6458
871	43652	6407
872	43693	6356
873	43736	6305
874	43778	6254
875	43823	6203
876	43878	6153
877	43921	6102
878	43971	6052
879	44015	6002
880	44056	5950
881	44102	5900
882	44142	5849
883	44180	5797
884	44219	5746
885	44261	5695
886	44298	5643
887	44347	5593
888	44393	5543
889	44437	5492
890	44479	5441
891	44522	5390
892	44567	5340
893	44610	5289
894	44654	5238
895	44694	5187
896	44738	5137
897	44778	5086
898	44821	5035
899	44869	4985
900	44908	4934
901	44952	4883
902	44995	4833
903	45033	4782
904	45082	4732
905	45160	4685
906	45202	4634
907	45249	4584
908	45290	4533
909	45331	4483
910	45383	4433
911	45425	4383
912	45469	4332
913	45511	4282
914	45554	4231
915	45598	4181
916	45659	4132
917	45718	4083
918	45767	4033
919	45817	3984
920	45857	3933
921	45901	3883
922	45944	3832
923	45985	3782
924	46028	3732
925	46070	3681
926	46110	3631
927	46153	3580
928	46198	3530
929	46239	3480
930	46279	3429
931	46315	3379
932	46358	3329
933	46400	3278
934	46470	3230
935	46509	3180
936	46552	3129
937	46595	3079
938	46639	3029
939	46681	2979
940	46724	2929
941	46766	2879
942	46812	2829
943	46854	2779
944	46902	2729
945	46944	2679
946	46982	2629
947	47024	2579
948	47067	2529
949	47107	2479
950	47148	2429
951	47189	2379
952	47230	2329
953	47266	2279
954	47302	2228
955	47344	2179
956	47386	2129
957	47428	2079
958	47471	2029
959	47518	1979
960	47558	1930
961	47599	1880
962	47636	1830
963	47680	1780
964	47721	1730
965	47760	1681
966	47803	1631
967	47844	1581
968	47894	1532
969	47938	1482
970	47984	1433
971	48027	1383
972	48070	1333
973	48106	1284
974	48139	1234
975	48182	1184
976	48225	1135
977	48265	1085
978	48309	1036
979	48351	986
980	48395	937
981	48437	887
982	48477	838
983	48533	789
984	48578	739
985	48622	690
986	48665	640
987	48708	591
988	48745	542
989	48787	492
990	48829	443
991	48866	394
992	48917	344
993	48968	295
994	49015	246
995	49050	196
996	49120	147
997	49184	98
998	49227	49
999	49266	0
